,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,State
3472,2022-06-03,2,13000,1160,3 out of 5,Super Area,"Pragathi Nagar, Kukatpally",Hyderabad,Unfurnished,Bachelors,2,Contact Owner,2
955,2022-06-03,2,55000,700,10 out of 20,Carpet Area,"Raj Legacy, Vikhroli West",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,3
36,2022-06-03,2,12500,800,2 out of 2,Carpet Area,Shyam Bazar,Kolkata,Unfurnished,Bachelors,1,Contact Agent,1
3802,2022-06-03,2,8500,1050,1 out of 2,Carpet Area,Hydershakote,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,3
427,2022-06-03,2,5500,450,1 out of 1,Carpet Area,Bisharpara,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
428,2022-06-03,2,5500,450,1 out of 2,Carpet Area,Bisharpara,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
3884,2022-06-03,2,18000,990,3 out of 3,Super Area,"Somajiguda, NH 9",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,1
1349,2022-06-04,3,25000,1500,Ground out of 3,Super Area,Kammanahalli,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
697,2022-06-04,2,48000,719,14 out of 20,Carpet Area,"Raheja Heights Phase 2, Gokuldham",Mumbai,Furnished,Family,2,Contact Agent,3
1348,2022-06-04,2,20000,1100,1 out of 3,Super Area,Kodi Halli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1
1261,2022-06-04,3,56000,1900,6 out of 16,Carpet Area,Jaya Nagar Block 3,Bangalore,Unfurnished,Bachelors,3,Contact Agent,3
2243,2022-06-04,2,13000,400,2 out of 4,Carpet Area,kst chattarpur Apartments,Delhi,Unfurnished,Bachelors,1,Contact Agent,1
1308,2022-06-04,2,20000,900,Ground out of 12,Carpet Area,Electronic City,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
2023,2022-06-04,1,11500,400,2 out of 4,Carpet Area,Lajpat Nagar 4,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent,1
3357,2022-06-04,2,7000,800,1 out of 3,Carpet Area,"Buddha Nagar Colony, Boduppal",Hyderabad,Unfurnished,Bachelors,2,Contact Owner,1
1958,2022-06-04,1,4500,240,1 out of 2,Super Area,Dilshad Colony,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
539,2022-06-04,1,19411,400,8 out of 8,Super Area,Goregaon West,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,2
2294,2022-06-04,2,12000,1000,1 out of 4,Super Area,Laxmi Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,1
1260,2022-06-04,2,17000,1000,3 out of 4,Super Area,Bommanahalli,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
2306,2022-06-04,3,35000,1200,3 out of 4,Carpet Area,Rajouri Garden,Delhi,Furnished,Bachelors,2,Contact Agent,2
1110,2022-06-04,1,7500,500,2 out of 4,Super Area,Basaveshwar Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
495,2022-06-04,1,10000,400,Ground out of 2,Carpet Area,"New Garia, Garia",Kolkata,Furnished,Bachelors,1,Contact Owner,1
2074,2022-06-04,1,24000,600,4 out of 4,Carpet Area,Rajouri Garden,Delhi,Furnished,Bachelors,1,Contact Agent,3
1343,2022-06-04,1,6000,400,3 out of 4,Super Area,Doddanagamangala,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
975,2022-06-04,1,35000,500,7 out of 23,Super Area,Powai,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,2
683,2022-06-04,1,42000,600,5 out of 24,Super Area,"Universal Neo Galaxy, Bhuleshwar",Mumbai,Furnished,Bachelors/Family,1,Contact Owner,3
2022,2022-06-04,2,32000,1100,3 out of 3,Carpet Area,Rajouri Garden,Delhi,Unfurnished,Bachelors,2,Contact Agent,2
3364,2022-06-04,2,13000,1210,4 out of 5,Super Area,Nizampet,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,2
1353,2022-06-04,1,7000,450,2 out of 4,Super Area,"Kattigenahalli, Bellary Road",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
1253,2022-06-04,3,39000,1200,1 out of 4,Super Area,Vidyaranyapura,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,1
1359,2022-06-04,1,7000,500,2 out of 3,Super Area,Kengeri Satellite Town,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
1047,2022-06-04,1,7000,480,4 out of 4,Carpet Area,Taloja Phase 2,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,1
1699,2022-06-04,2,12000,940,2 out of 5,Carpet Area,"Attur Layout, Yelahanka New Town",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
1069,2022-06-04,2,17000,1040,4 out of 4,Super Area,C V Raman Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
62,2022-06-04,2,10000,700,7 out of 8,Carpet Area,Sarsuna,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,1
1098,2022-06-04,1,7000,400,Ground out of 2,Super Area,T Dasarahalli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
1070,2022-06-04,3,21000,1403,1 out of 4,Super Area,"Chikkalasandra, Bangalore",Bangalore,Furnished,Bachelors/Family,3,Contact Owner,2
675,2022-06-04,1,19000,225,18 out of 25,Super Area,Worli,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,2
1334,2022-06-04,1,5000,350,2 out of 2,Carpet Area,"Chamundi Nagar, Rajajinagar",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
2585,2022-06-04,3,8500,1261,3 out of 4,Carpet Area,Thiruporur,Chennai,Furnished,Bachelors/Family,3,Contact Owner,1
1557,2022-06-04,3,27000,1200,2 out of 3,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Unfurnished,Bachelors,2,Contact Owner,2
208,2022-06-04,3,18000,1200,1 out of 3,Carpet Area,Salt Lake City Sector 1,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2
3565,2022-06-04,2,14000,650,1 out of 3,Super Area,"Padmarao Nagar, Hyderabad-Karimnagar Highway",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,2
1017,2022-06-04,1,32000,450,1 out of 5,Super Area,Andheri West,Mumbai,Furnished,Bachelors/Family,1,Contact Owner,2
2445,2022-06-04,2,9000,700,4 out of 5,Super Area,Sant Nagar,Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
2032,2022-06-04,1,35000,300,3 out of 5,Super Area,Rajouri Garden,Delhi,Furnished,Bachelors/Family,1,Contact Owner,2
1329,2022-06-04,1,4500,600,Ground out of 3,Super Area,"Peenya Industrial Area, Tumkur Road",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
1625,2022-06-04,1,4000,250,2 out of 3,Super Area,Btm Layout,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
2042,2022-06-04,1,15000,400,3 out of 4,Carpet Area,Lajpat Nagar 4,Delhi,Furnished,Bachelors/Family,1,Contact Agent,1
2039,2022-06-04,2,24000,150,1 out of 2,Super Area,Paschim Vihar,Delhi,Furnished,Bachelors/Family,1,Contact Owner,2
2040,2022-06-04,1,20000,400,3 out of 4,Carpet Area,Lajpat Nagar 4,Delhi,Furnished,Bachelors/Family,1,Contact Agent,2
2281,2022-06-04,2,22000,1000,4 out of 5,Super Area,Vasant Kunj,Delhi,Furnished,Bachelors/Family,2,Contact Owner,2
233,2022-06-04,2,21000,700,Ground out of 2,Super Area,Lake Gardens,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,2
1578,2022-06-04,2,10500,1000,Ground out of 3,Super Area,Banashankari,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
1071,2022-06-04,2,10000,600,3 out of 4,Super Area,Talaghattapura,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
1575,2022-06-04,2,35000,1300,3 out of 5,Super Area,Jayanagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
2046,2022-06-04,1,11000,400,2 out of 4,Carpet Area,Lajpat Nagar 4,Delhi,Unfurnished,Bachelors/Family,1,Contact Agent,1
563,2022-06-04,1,32000,450,10 out of 18,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,2,Contact Agent,2
990,2022-06-04,2,34000,600,4 out of 7,Carpet Area,"Shiv Dham Apartment, Goregaon East",Mumbai,Unfurnished,Bachelors,2,Contact Agent,2
1591,2022-06-04,1,7000,900,3 out of 4,Super Area,Vijayanagar,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
668,2022-06-04,2,50000,935,2 out of 6,Super Area,Andheri West,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,3
1655,2022-06-04,2,8500,650,8 out of 8,Carpet Area,Attibele,Bangalore,Furnished,Family,2,Contact Owner,1
1971,2022-06-04,2,20500,900,Ground out of 9,Super Area,"IGNOU Road, Saket",Delhi,Furnished,Bachelors/Family,2,Contact Owner,2
1930,2022-06-04,2,13500,623,2 out of 3,Carpet Area,"Ganesh Nagar, Tilak Nagar",Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
213,2022-06-04,2,11000,750,Ground out of 1,Carpet Area,Parnasree Pally,Kolkata,Unfurnished,Bachelors,1,Contact Owner,1
1273,2022-06-04,2,20000,980,3 out of 4,Super Area,Mathikere,Bangalore,Furnished,Family,2,Contact Owner,2
1324,2022-06-04,2,18000,1200,Ground out of 3,Super Area,Vijayanagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,2
1976,2022-06-04,1,5000,180,Ground out of 3,Super Area,Mukherjee Nagar,Delhi,Furnished,Bachelors/Family,1,Contact Owner,1
655,2022-06-04,1,10000,425,9 out of 14,Carpet Area,"Nicon Infinity, Vasai East",Mumbai,Furnished,Bachelors,2,Contact Owner,1
1074,2022-06-04,2,17000,1000,3 out of 4,Super Area,Padmanabha Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
605,2022-06-04,2,50000,750,8 out of 16,Carpet Area,"Safal Saraswati, Chembur",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,3
1714,2022-06-04,1,6000,500,2 out of 3,Super Area,"Electronic City Phase 2, Electronic City",Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
1598,2022-06-04,2,9000,900,2 out of 4,Super Area,Attiguppe,Bangalore,Furnished,Family,1,Contact Owner,1
1199,2022-06-04,2,12000,865,1 out of 5,Super Area,Ananth Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
1032,2022-06-04,2,35000,650,5 out of 6,Carpet Area,Thakur Complex,Mumbai,Furnished,Family,2,Contact Agent,1
1569,2022-06-04,1,5000,500,1 out of 2,Super Area,T Dasarahalli,Bangalore,Unfurnished,Family,1,Contact Owner,1
1205,2022-06-04,2,10000,800,2 out of 4,Super Area,Hegganahalli,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
1380,2022-06-04,1,7500,600,3 out of 4,Super Area,"Mallathahalli, Outer Ring Road",Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
2599,2022-06-04,3,15000,1350,1 out of 2,Super Area,Kovilambakkam,Chennai,Unfurnished,Bachelors/Family,3,Contact Owner,1
830,2022-06-04,1,30000,400,3 out of 6,Super Area,Bhatti Pada,Mumbai,Unfurnished,Bachelors,1,Contact Owner,3
886,2022-06-04,2,52000,550,3 out of 9,Carpet Area,Kalina,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,3
1393,2022-06-04,2,16000,1100,2 out of 4,Super Area,Padmanabha Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
892,2022-06-04,2,57000,625,9 out of 18,Carpet Area,"Panch Complex, Powai",Mumbai,Furnished,Bachelors,2,Contact Agent,3
855,2022-06-04,3,55000,850,6 out of 7,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,3,Contact Agent,3
1473,2022-06-04,1,12500,600,1 out of 1,Super Area,New Bel Road,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
1451,2022-06-04,3,18000,1100,11 out of 18,Carpet Area,Doddabanahalli,Bangalore,Furnished,Bachelors,3,Contact Owner,2
604,2022-06-04,1,25000,330,4 out of 6,Super Area,Mazgaon,Mumbai,Furnished,Family,1,Contact Owner,2
1475,2022-06-04,2,13000,1000,2 out of 3,Super Area,Anantapura,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
235,2022-06-04,2,15000,839,1 out of 3,Super Area,Howrah,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,1
1464,2022-06-04,3,12000,1100,6 out of 7,Super Area,"Shampura, Kaval Byrasandra",Bangalore,Furnished,Bachelors/Family,3,Contact Owner,1
883,2022-06-04,2,40000,625,6 out of 14,Carpet Area,"Kailash Tower, Powai",Mumbai,Furnished,Bachelors,2,Contact Agent,3
1431,2022-06-04,2,15000,800,Ground out of 4,Super Area,Bilekahalli,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
1200,2022-06-04,1,20000,600,1 out of 4,Super Area,Rayasandra,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,2
1463,2022-06-04,1,5500,600,Ground out of 3,Super Area,Rayasandra,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
1780,2022-06-04,2,11000,600,1 out of 3,Super Area,K R Puram,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
1389,2022-06-04,1,18000,800,Ground out of 2,Super Area,Gottigere,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,2
2629,2022-06-04,2,16000,870,3 out of 3,Super Area,Chennai,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,2
1427,2022-06-04,2,15000,1200,3 out of 4,Super Area,Kodigenahalli,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
1406,2022-06-04,2,9000,580,Ground out of 3,Carpet Area,Visthar,Bangalore,Furnished,Bachelors,1,Contact Owner,1
1914,2022-06-04,2,12000,400,2 out of 4,Carpet Area,kst chattarpur Apartments,Delhi,Unfurnished,Bachelors,1,Contact Agent,1
3875,2022-06-04,2,9000,1156,Ground out of 2,Carpet Area,"Beeramguda, Ramachandra Puram, NH 9",Hyderabad,Unfurnished,Bachelors,2,Contact Owner,2
220,2022-06-04,1,3000,200,2 out of 3,Super Area,Barasat,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
3164,2022-06-04,3,10000,1200,1 out of 3,Carpet Area,Kovur,Chennai,Unfurnished,Bachelors/Family,3,Contact Owner,1
913,2022-06-04,1,20000,300,2 out of 12,Carpet Area,"Sundar Nagar, Kalina",Mumbai,Furnished,Bachelors/Family,1,Contact Agent,2
2386,2022-06-04,3,13000,70,Ground out of 4,Super Area,Pandav Nagar,Delhi,Furnished,Bachelors/Family,2,Contact Owner,1
2999,2022-06-04,1,6166,570,Ground out of 2,Super Area,Mangadu,Chennai,Furnished,Bachelors/Family,1,Contact Owner,1
3270,2022-06-04,2,14000,909,5 out of 14,Super Area,Mahindra World City,Chennai,Furnished,Bachelors/Family,2,Contact Owner,1
3250,2022-06-04,2,10000,800,Ground out of 1,Carpet Area,Guduvancheri,Chennai,Furnished,Bachelors,2,Contact Owner,1
1505,2022-06-04,2,15000,825,Ground out of 2,Super Area,Hulimavu,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1
2380,2022-06-04,1,3500,25,3 out of 4,Super Area,Burari,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
1155,2022-06-04,1,7000,550,1 out of 3,Super Area,Chikkalasandra,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
948,2022-06-04,1,21000,428,12 out of 21,Carpet Area,"Godrej Tranquil, Lokhandwala Twp",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,2
2427,2022-06-04,3,52000,200,2 out of 3,Carpet Area,South Extension 1,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner,3
912,2022-06-04,1,30000,350,5 out of 16,Carpet Area,Prabhadevi,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,3
1502,2022-06-04,1,22000,460,3 out of 5,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Furnished,Bachelors/Family,1,Contact Agent,2
1501,2022-06-04,2,14000,800,1 out of 3,Super Area,Hongasandra,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
1456,2022-06-04,2,25000,900,Ground out of 1,Super Area,Kammanahalli,Bangalore,Unfurnished,Family,2,Contact Owner,2
1786,2022-06-04,2,18500,900,2 out of 3,Super Area,Rajajinagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,2
1828,2022-06-04,2,30000,1650,2 out of 3,Super Area,Ganga Nagar,Bangalore,Unfurnished,Bachelors/Family,3,Contact Owner,1
587,2022-06-04,1,18000,300,4 out of 6,Super Area,Vile Parle West,Mumbai,Furnished,Bachelors/Family,1,Contact Owner,2
1181,2022-06-04,2,13500,700,1 out of 3,Carpet Area,Mathikere,Bangalore,Furnished,Bachelors,2,Contact Owner,1
906,2022-06-04,1,27000,495,5 out of 7,Super Area,Andheri East,Mumbai,Furnished,Bachelors/Family,2,Contact Owner,2
183,2022-06-04,2,12000,1800,1 out of 1,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,2,Contact Owner,1
1073,2022-06-04,1,7500,400,1 out of 2,Super Area,Rajajinagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
3464,2022-06-04,3,35000,1250,4 out of 5,Carpet Area,"Somajiguda, NH 9",Hyderabad,Unfurnished,Bachelors,2,Contact Owner,3
1218,2022-06-04,1,6000,300,Ground out of 2,Super Area,Nagarbhavi,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
936,2022-06-04,2,41000,600,4 out of 8,Carpet Area,"Vasant Oscar, Mulund West",Mumbai,Furnished,Family,2,Contact Agent,3
1227,2022-06-04,1,6500,700,2 out of 4,Super Area,Rukmini Nagar,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
1407,2022-06-04,1,6000,350,Ground out of 1,Super Area,K R Puram,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
3428,2022-06-04,2,10000,950,Ground out of 4,Super Area,"Uppal, NH 2 2",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,2
1371,2022-06-04,1,22000,455,2 out of 5,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Furnished,Bachelors/Family,1,Contact Agent,2
2688,2022-06-05,1,8500,550,Ground out of 1,Carpet Area,"Arunachalam Nagar, Madipakkam",Chennai,Unfurnished,Bachelors,2,Contact Owner,1
448,2022-06-05,1,5200,220,Ground out of 2,Super Area,New Town,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
2689,2022-06-05,1,7000,300,Ground out of 1,Super Area,"Pazhavanthangal, Jawaharlal Nehru Road",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,1
1915,2022-06-05,2,11000,450,1 out of 4,Carpet Area,Uttam Nagar,Delhi,Unfurnished,Bachelors,1,Contact Owner,1
533,2022-06-05,1,22000,270,14 out of 23,Super Area,Mahim West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,2
2969,2022-06-05,3,12000,1062,2 out of 3,Super Area,Pudupakkam,Chennai,Furnished,Bachelors/Family,2,Contact Owner,1
3343,2022-06-05,3,24000,1600,3 out of 5,Carpet Area,"Miyapur, NH 9",Hyderabad,Furnished,Bachelors/Family,3,Contact Owner,3
287,2022-06-05,3,7500,1000,Ground out of 2,Carpet Area,south station pally dankuni,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,1
610,2022-06-05,1,20000,570,6 out of 7,Super Area,"Leo Ratnakar, Mahavir Nagar",Mumbai,Furnished,Bachelors/Family,2,Contact Owner,2
3092,2022-06-05,2,20000,1800,12 out of 19,Super Area,Old Mahabalipuram Road,Chennai,Furnished,Bachelors/Family,2,Contact Owner,2
1213,2022-06-05,2,17500,1080,1 out of 4,Super Area,Electronic City,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
3840,2022-06-05,3,15500,1600,1 out of 4,Super Area,Madhura Nagar,Hyderabad,Furnished,Family,3,Contact Owner,2
2651,2022-06-05,1,10000,800,Ground out of 3,Super Area,Navalur,Chennai,Furnished,Bachelors/Family,1,Contact Owner,1
3256,2022-06-05,2,11000,950,1 out of 1,Super Area,"Iyyappanthangal Bus Stop, Iyyappanthangal, PH Road",Chennai,Unfurnished,Bachelors,2,Contact Owner,2
2363,2022-06-05,3,33500,150,2 out of 4,Carpet Area,Paschim Vihar Block A3,Delhi,Furnished,Bachelors,2,Contact Agent,2
145,2022-06-05,2,2200,550,2 out of 3,Super Area,Behala silpara,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,1
2713,2022-06-06,2,11000,1200,1 out of 1,Carpet Area,"Tambaram West, Tambaram, Chennai Bypass Road",Chennai,Unfurnished,Bachelors,2,Contact Owner,1
4052,2022-06-06,2,26000,1160,6 out of 7,Super Area,"Madinaguda, Hafeezpet, NH 9",Hyderabad,Furnished,Family,2,Contact Owner,1
3728,2022-06-06,2,7000,1000,1 out of 2,Super Area,"Hayathnagar, NH 9",Hyderabad,Furnished,Bachelors/Family,3,Contact Owner,3
3009,2022-06-06,2,9000,800,Ground out of 2,Super Area,Mudichur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1
3672,2022-06-06,3,30000,1500,5 out of 5,Carpet Area,Kondapur,Hyderabad,Furnished,Bachelors/Family,3,Contact Agent,2
4015,2022-06-06,3,13000,1450,2 out of 5,Super Area,Bachupally,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,2
3280,2022-06-06,2,12000,750,Ground out of 3,Super Area,Andal Nagar,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1
324,2022-06-06,3,16000,1200,Ground out of 2,Carpet Area,"Baishnabghata, Garia",Kolkata,Unfurnished,Bachelors/Family,2,Contact Agent,2
564,2022-06-06,1,40000,600,3 out of 7,Carpet Area,Lokhandwala Complex,Mumbai,Furnished,Family,2,Contact Agent,3
3110,2022-06-06,2,24000,1100,Ground out of 3,Super Area,Vadapalani,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,2
3504,2022-06-06,2,12000,900,3 out of 4,Carpet Area,Gwachiwali,Hyderabad,Furnished,Bachelors/Family,1,Contact Owner,3
3658,2022-06-06,3,20000,2000,1 out of 3,Carpet Area,Srisailam Highway,Hyderabad,Furnished,Bachelors/Family,3,Contact Owner,2
1395,2022-06-06,2,17000,1100,1 out of 4,Carpet Area,Bannerghatta Main Road,Bangalore,Furnished,Bachelors,2,Contact Agent,2
1729,2022-06-06,2,12500,570,1 out of 3,Super Area,Btm Layout Stage 4,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1
903,2022-06-06,1,55000,500,8 out of 18,Carpet Area,Hiranandani Gardens,Mumbai,Unfurnished,Bachelors,1,Contact Agent,3
4045,2022-06-06,2,12000,350,2 out of 2,Carpet Area,Malkajgiri,Hyderabad,Unfurnished,Bachelors,1,Contact Owner,3
2399,2022-06-06,1,6000,50,3 out of 4,Carpet Area,Mahavir Enclave Part 3,Delhi,Furnished,Bachelors,1,Contact Owner,1
1369,2022-06-06,1,15000,600,3 out of 3,Super Area,J P Nagar,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,1
3932,2022-06-06,1,25000,700,5 out of 5,Carpet Area,"Dwarakapuri, Punjagutta, NH 9",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,2
3592,2022-06-06,1,13900,650,1 out of 6,Super Area,Suraram,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner,2
1303,2022-06-06,3,16000,1200,2 out of 3,Super Area,Uttarahalli,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2
285,2022-06-06,3,25000,1100,2 out of 3,Super Area,"Regent Estate, Bijoygarh",Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,2
1913,2022-06-06,1,22000,720,3 out of 3,Carpet Area,Shakti Nagar,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner,1
45,2022-06-06,2,10000,1300,Ground out of 1,Super Area,Kalikapur,Kolkata,Furnished,Family,2,Contact Owner,1
3467,2022-06-06,4,36000,2050,1 out of 3,Super Area,Sainikpuri,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,1
2442,2022-06-06,2,10500,500,2 out of 3,Carpet Area,Laxmi Nagar,Delhi,Furnished,Bachelors/Family,2,Contact Agent,1
3087,2022-06-06,1,7000,400,Ground out of 2,Super Area,Nanmangalam,Chennai,Furnished,Bachelors/Family,1,Contact Owner,1
3123,2022-06-06,2,25000,1000,1 out of 2,Carpet Area,"Adyar, Sardar Patel Road",Chennai,Furnished,Bachelors,2,Contact Agent,3
1147,2022-06-06,2,12000,900,Ground out of 1,Carpet Area,Babusapalya,Bangalore,Unfurnished,Bachelors/Family,2,Contact Agent,1
503,2022-06-06,3,40000,1600,Ground out of 3,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors,2,Contact Agent,3
3143,2022-06-06,3,22000,1100,Ground out of 2,Super Area,Porur,Chennai,Furnished,Bachelors/Family,2,Contact Owner,2
1131,2022-06-06,1,10000,600,Ground out of 1,Carpet Area,"Jeevan Bima Nagar, Airport Road",Bangalore,Furnished,Bachelors,1,Contact Owner,1
2939,2022-06-06,2,11000,803,1 out of 2,Super Area,"Moulivakkam, Moulivakkam",Chennai,Furnished,Bachelors/Family,2,Contact Owner,1
104,2022-06-06,1,6000,600,8 out of 5,Carpet Area,Pratiraksha Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,1
1148,2022-06-06,1,7000,800,1 out of 1,Carpet Area,Babusapalya,Bangalore,Unfurnished,Bachelors/Family,1,Contact Agent,1
3427,2022-06-06,2,13000,1400,Ground out of 1,Super Area,"Mallampet, Outer Ring Road",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,2
3417,2022-06-06,1,9000,550,2 out of 3,Super Area,"Uppal, NH 2 2",Hyderabad,Furnished,Bachelors/Family,1,Contact Owner,3
2793,2022-06-06,3,33000,1760,8 out of 9,Super Area,Iyyappanthangal,Chennai,Furnished,Bachelors/Family,3,Contact Owner,2
3717,2022-06-06,3,14000,1400,3 out of 4,Super Area,"Bolarum, Medchal Road",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,3
3805,2022-06-06,1,3000,100,1 out of 2,Super Area,New Nallakunta,Hyderabad,Furnished,Bachelors/Family,1,Contact Owner,3
4112,2022-06-06,3,18000,1450,1 out of 5,Carpet Area,"Miyapur, NH 9",Hyderabad,Furnished,Family,3,Contact Owner,2
3801,2022-06-06,3,22000,1500,3 out of 6,Super Area,Petbasheerabad,Hyderabad,Furnished,Bachelors/Family,3,Contact Owner,2
2763,2022-06-06,2,14500,1150,1 out of 1,Carpet Area,"Zamin Pallavaram, Pallavaram",Chennai,Unfurnished,Bachelors,2,Contact Owner,1
1210,2022-06-07,2,12000,905,3 out of 6,Super Area,Kanakapura Road,Bangalore,Furnished,Family,2,Contact Owner,1
196,2022-06-07,3,15000,1500,1 out of 2,Super Area,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",Kolkata,Unfurnished,Family,2,Contact Owner,1
2667,2022-06-07,3,13000,965,Ground out of 2,Super Area,Mangadu,Chennai,Furnished,Bachelors/Family,2,Contact Owner,1
2997,2022-06-07,3,18000,1200,1 out of 1,Carpet Area,Nesapakkam,Chennai,Furnished,Bachelors,2,Contact Owner,1
